name,provider,verification_url,pdf_path_relative_to_root,pdf_path_relative_to_course_certificates,skills,what_was_learnt
Advanced RAG with Vector Databases and Retrievers,IBM,https://coursera.org/verify/Y5FYY2752C35,course-certificates/advanced-rag-with-vector-databases-and-retrievers.pdf,advanced-rag-with-vector-databases-and-retrievers.pdf,User Interface (UI); Vector Databases; Embeddings; Performance Tuning; Large Language Modeling; LLM Application; UI Components; Retrieval-Augmented Generation,"Build RAG applications using vector databases and advanced retrieval patterns | Employ the core mechanics of Vector Databases such as FAISS and Chroma DB and implement indexing algorithms like HNSW | Implement advanced retrievers using LlamaIndex and LangChain to improve the quality of LLM responses | Develop comprehensive RAG applications by integrating LangChain, FAISS, and front-end user interfaces built using Gradio"
Vector Databases for RAG: An Introduction,IBM,https://coursera.org/verify/L9A4V747UYAQ,course-certificates/vector-databases-for-rag-an-introduction.pdf,vector-databases-for-rag-an-introduction.pdf,AI Integrations; Databases; Data Storage Technologies; Retrieval-Augmented Generation; Database Architecture and Administration; Embeddings; Generative AI; Database Systems; Database Management,"Differentiate between vector databases and traditional databases based on their functionality and use cases | Execute fundamental database operations in ChromaDB, including updating, deleting, and managing collections | Understand and apply similarity search techniques, both manually and with ChromaDB, and develop recommendation systems using these techniques | Develop a thorough and comprehensive understanding of key internal mechanisms within RAG"
Play It Safe: Manage Security Risks,Google,https://coursera.org/verify/BS7T7F9C7WP3,course-certificates/play-it-safe-manage-security-risks.pdf,play-it-safe-manage-security-risks.pdf,Security Information and Event Management (SIEM); Enterprise Security; System Monitoring; Risk Mitigation; Risk Management; Security Controls; Cyber Risk; Vulnerability Management; Risk Analysis; Threat Detection; Cybersecurity; Auditing,"Identify the primary threats, risks, and vulnerabilities to business operations | Examine how organizations use security frameworks and controls to protect business operations | Define commonly used Security Information and Event Management (SIEM) tools | Use a playbook to respond to threats, risks, and vulnerabilities"
Connect and Protect: Networks and Network Security,Google,https://coursera.org/verify/3PD6TMSI91ZK,course-certificates/connect-and-protect-networks-and-network-security.pdf,connect-and-protect-networks-and-network-security.pdf,Firewall; Cybersecurity; Network Protocols; Virtual Private Networks (VPN); Computer Networking; General Networking; Intrusion Detection and Prevention; Network Security; Network Infrastructure; Network Architecture; Security Controls; Network Model,Define the types of networks and components of networks | Illustrate how data is sent and received over a network | Understand how to secure a network against intrusion tactics | Describe system hardening techniques
Tools of the Trade: Linux and SQL,Google,https://coursera.org/verify/HXH9BLJLGUGT,course-certificates/tools-of-the-trade-linux-and-sql.pdf,tools-of-the-trade-linux-and-sql.pdf,User Accounts; Query Languages; Operating Systems; Command-Line Interface; Bash (Scripting Language); Relational Databases; Authentications; Database Management; Authorization (Computing); Linux Administration; File Management; Unix Shell,"Explain the relationship between operating systems, applications, and hardware | Compare a graphical user interface to a command line interface | Navigate and manage the file system using Linux commands via the Bash shell | Use SQL to retrieve information from a database"
"Assets, Threats, and Vulnerabilities",Google,https://coursera.org/verify/E4SQ1YF4GHWD,course-certificates/assets-threats-and-vulnerabilities.pdf,assets-threats-and-vulnerabilities.pdf,Cybersecurity; Security Awareness; Cyber Threat Intelligence; Authentications; Vulnerability Assessments; Risk Management Framework; Threat Modeling; Authorization (Computing); Threat Management; Data Security; Data Management; Malware Protection,"Classify assets | Analyze an attack surface to find risks and vulnerabilities | Identify threats, such as social engineering, malware and web-based exploits | Summarize the threat modeling process"
Automate Cybersecurity Tasks with Python,Google,https://coursera.org/verify/EY6B4RG08REZ,course-certificates/automate-cybersecurity-tasks-with-python.pdf,automate-cybersecurity-tasks-with-python.pdf,Program Development; Python Programming; Maintainability; File I/O; Data Import/Export; Automation; Debugging; IT Automation; Programming Principles; Cybersecurity; Computer Programming; Algorithms,"Explain how the Python programming language is used in cybersecurity | Create new, user-defined Python functions | Use regular expressions to extract information from text | Practice debugging code"
Put It to Work: Prepare for Cybersecurity Jobs,Google,https://coursera.org/verify/6E1JCDYE8NXA,course-certificates/put-it-to-work-prepare-for-cybersecurity-jobs.pdf,put-it-to-work-prepare-for-cybersecurity-jobs.pdf,Cybersecurity; Cyber Threat Intelligence; Data Ethics; Security Awareness; Computer Security Incident Management; AI Workflows; Incident Management; Incident Response; Artificial Intelligence; Security Management; Data Security; Technical Communication,Determine when and how to escalate a security incident | Engage with the cybersecurity community | Apply for cybersecurity jobs and prepare for interviews. | Gain a competitive edge by learning AI skills from Google experts.
Sound the Alarm: Detection and Response,Google,https://coursera.org/verify/D9T83BSOF4QW,course-certificates/sound-the-alarm-detection-and-response.pdf,sound-the-alarm-detection-and-response.pdf,Network Security; Security Information and Event Management (SIEM); Incident Response; Cyber Threat Intelligence; Endpoint Detection and Response; Computer Security Incident Management; Network Analysis; Network Protocols; Incident Management; Intrusion Detection and Prevention; Splunk; Continuous Monitoring,"Identify the steps to contain, eradicate, and recover from an incident | Analyze packets to interpret network communications | Understand basic syntax, components of signatures and logs in Intrusion Detection Systems (IDS) and Network Intrusion Detection Systems (NIDS) tools | Perform queries in Security Information and Event Management (SIEM) tools to investigate an event"
RAG and Agentic AI Capstone Project,IBM,https://coursera.org/verify/UNKZ1NOSF5QE,course-certificates/rag-and-agentic-ai-capstone-project.pdf,rag-and-agentic-ai-capstone-project.pdf,Agentic systems; Large Language Modeling; Model Context Protocol; System Testing; JSON; Generative AI Agents; Tool Calling; AI Workflows; Multimodal Prompts; Unstructured Data; Retrieval-Augmented Generation; Agentic Workflows,"Demonstrate you have the job-ready skills to design and implement a complete AI system from data to deployment. | Transform unstructured text and multimodal data into structured JSON formats using LLMs to drive data-driven decision-making. | Architect multimodal vector databases and multi-agent systems to coordinate specialized agents for high-accuracy recommendations. | Integrate complex AI ecosystems using MCP, configuring servers and clients to build, validate, and scale tool-augmented agents."
